Media_Online,Seed_URL,URL_Word,Parent_Page,Anchor_Text,Surrounding_Text,Class
kumparan,https://kumparan.com/sukabumi-update/geopark-ciletuh-ciemas-mulai-diserbu-pengunjung-luar-daerah-1rEJUbXL2Df,0.66,0.85,0.26,0.44,1
kumparan,https://kumparan.com/sukabumi-update/kebakaran-lahan-kembali-terjadi-di-kawasan-geopark-ciletuh-ciemas-1rYulT4sJ2s,0.73,0.56,0.26,0.44,0
kumparan,https://kumparan.com/kumparantravel/5-penginapan-dekat-geopark-ciletuh-yang-bikin-liburanmu-makin-seru-1553762313675723717,0.66,0.88,0.71,0.79,1
kumparan,https://kumparan.com/sukabumi-update/bangkai-paus-terdampar-di-persisir-geopark-ciletuh-tak-jadi-dikubur-1rLMclqbogo,0.66,0.71,0.71,0.79,1
kumparan,https://kumparan.com/sukabumi-update/puncak-darma-punya-spot-baru-buat-nikmati-panorama-geopark-ciletuh-1rokBxMW3tP,0.66,0.8,0.26,0.44,1
kumparan,https://kumparan.com/sukabumi-update/objek-wisata-di-geopark-ciletuh-terancam-rusak-oleh-pengolahan-emas-1sBfNlbUWUY,0.7,0.8,0.26,0.44,1
kumparan,https://kumparan.com/sukabumi-update/berwisata-di-geopark-ciletuh-ciemas-naik-perahu-bisa-snorkeling-juga-1rrnHhwzvSc,0.7,0.75,0.34,0.49,1
kumparan,https://kumparan.com/ngopibareng/geopark-ciletuh-dapat-pengakuan-unesco-global-geopark,0.66,0.9,0,0,1
kumparan,https://kumparan.com/kumparantravel/7-wisata-alam-di-kawasan-geopark-ciletuh-yang-menarik-untuk-dikunjungi-1550555588295463614,0.81,0.85,0.75,0.79,1
kumparan,https://kumparan.com/sukabumi-update/bksda-paus-mati-di-geopark-ciletuh-jenis-pilot-1rLkXSeEVyG,0.66,0.82,0.26,0.44,1
kumparan,https://kumparan.com/sukabumi-update/geopark-ciletuh-ciemas-mulai-diserbu-pengunjung-luar-daerah-1rEJUbXL2Df,0.66,0.85,0.26,0.44,1
kumparan,https://kumparan.com/sukabumi-update/kebakaran-lahan-kembali-terjadi-di-kawasan-geopark-ciletuh-ciemas-1rYulT4sJ2s,0.73,0.56,0.26,0.44,0
kumparan,https://kumparan.com/kumparantravel/5-penginapan-dekat-geopark-ciletuh-yang-bikin-liburanmu-makin-seru-1553762313675723717,0.66,0.88,0.71,0.79,1
kumparan,https://kumparan.com/sukabumi-update/bangkai-paus-terdampar-di-persisir-geopark-ciletuh-tak-jadi-dikubur-1rLMclqbogo,0.66,0.71,0.71,0.79,1
kumparan,https://kumparan.com/sukabumi-update/puncak-darma-punya-spot-baru-buat-nikmati-panorama-geopark-ciletuh-1rokBxMW3tP,0.66,0.8,0.26,0.44,1
kumparan,https://kumparan.com/sukabumi-update/objek-wisata-di-geopark-ciletuh-terancam-rusak-oleh-pengolahan-emas-1sBfNlbUWUY,0.7,0.8,0.26,0.44,1
kumparan,https://kumparan.com/sukabumi-update/berwisata-di-geopark-ciletuh-ciemas-naik-perahu-bisa-snorkeling-juga-1rrnHhwzvSc,0.7,0.75,0.34,0.49,1
kumparan,https://kumparan.com/ngopibareng/geopark-ciletuh-dapat-pengakuan-unesco-global-geopark,0.66,0.9,0,0,1
kumparan,https://kumparan.com/kumparantravel/7-wisata-alam-di-kawasan-geopark-ciletuh-yang-menarik-untuk-dikunjungi-1550555588295463614,0.81,0.85,0.75,0.79,1
liputan6,https://www.liputan6.com/news/read/4105355/geopark-ciletuh-izu-peninsula-geopark-jalin-kerjasama-tingkatkan-ekonomi-dan-pariwisata,0.66,0.81,0.66,0.87,1
